order_id,customer_id,order_date,shipping_date,order_status,total_amount
205154,9771,2024-07-12,2024-07-16,Pending,133.15
857862,4478,2024-09-27,2024-10-02,Shipped,446.21
561738,2773,2024-12-08,2024-12-13,Pending,370.6
415920,7307,2024-06-20,2024-06-24,Shipped,456.88
720670,6123,2024-12-31,2025-01-05,Pending,476.7
609786,3610,2024-07-18,,Returned,60.85
626944,1256,2024-08-01,,Returned,435.09
642842,9045,2024-07-17,2024-07-23,Shipped,41.44
112495,4812,2024-07-26,,Returned,56.66
170058,5568,2024-06-07,,Cancelled,151.01
110876,2252,2024-12-12,2024-12-15,Pending,462.95
360959,3305,2024-12-14,2024-12-16,Shipped,343.05
776227,9725,2024-09-23,2024-09-26,Shipped,280.89
741082,5751,2024-09-04,,Cancelled,103.42
175671,6040,2024-06-15,2024-06-22,Shipped,286.86
305562,9508,2024-10-13,2024-10-18,Pending,105.36
975912,3531,2024-10-23,2024-10-29,Shipped,421.67
928210,3386,2024-08-06,2024-08-08,Shipped,451.94
763104,6729,2024-08-17,,Cancelled,476.2
228433,9987,2024-12-19,,Returned,415.53
536423,6098,2024-07-10,2024-07-12,Delivered,366.38
650440,9435,2024-06-22,,Returned,83.01
468700,6137,2024-12-13,,Cancelled,283.2
728054,1953,2024-11-06,2024-11-08,Delivered,84.96
211606,4328,2024-10-19,,Returned,88.59
373965,1266,2024-09-17,2024-09-21,Delivered,436.73
629172,3985,2024-10-12,2024-10-16,Pending,259.22
742874,1917,2024-12-03,2024-12-06,Pending,459.37
678771,7376,2024-06-06,,Returned,298.28
846725,3785,2024-11-24,2024-11-30,Pending,23.66
594544,3802,2024-06-08,,Cancelled,61.81
259940,4543,2024-08-25,,Returned,36.64
463071,6153,2024-10-05,2024-10-12,Delivered,407.95
194122,1173,2024-10-31,2024-11-02,Shipped,34.79
656718,4384,2024-06-29,,Cancelled,321.87
295717,5768,2024-11-08,2024-11-13,Pending,462.43
155644,9839,2024-07-29,,Cancelled,417.11
399502,1008,2024-09-19,,Cancelled,398.73
106705,4569,2024-12-16,2024-12-18,Shipped,59.91
308019,8247,2024-09-15,2024-09-18,Delivered,458.26
777516,8381,2024-10-09,2024-10-16,Pending,420.04
322874,6558,2024-11-03,2024-11-09,Shipped,307.97
307710,8593,2024-08-08,2024-08-10,Delivered,342.06
719051,7182,2024-06-25,2024-07-01,Pending,323.29
438458,3010,2024-06-08,,Cancelled,68.4
540476,4308,2024-09-20,2024-09-22,Shipped,181.07
314709,1017,2024-09-30,2024-10-05,Pending,337.29
570883,6197,2024-10-14,,Cancelled,273.81
884760,9276,2024-09-03,2024-09-05,Pending,350.34
662290,6954,2024-08-14,,Returned,224.26
500064,4592,2024-09-01,2024-09-03,Pending,118.65
665035,6499,2024-10-27,,Returned,237.91
161370,2901,2024-09-15,2024-09-20,Shipped,462.47
440421,1533,2024-09-16,,Returned,99.84
